File,Test Month,State,District,District Code,Experience in Plumbing,Pre -Test,Post -Test, Which type of pipe is suitable for both hot and cold water?, How deep is the water seal in the P Trap? ,What is the purpose of a non-return valve (NRV)?,What is the minimum diameter of a soil pipe in a residential building?,A trap prevents foul gases from entering the building.,PEX pipes are commonly used in gas pipelines., The height of air pipe with water tank should be…….,What is the colour of CPVC SDR 11? ,What is the color of UPVC SCH 40 pipe?,Where are PVC connection pipes used?, Which type of pipe is suitable for both hot and cold water?, How deep is the water seal in the P Trap? ,What is the purpose of a non-return valve (NRV)?,What is the minimum diameter of a soil pipe in a residential building?,A trap prevents foul gases from entering the building.,PEX pipes are commonly used in gas pipelines., The height of air pipe with water tank should be…….,What is the colour of CPVC SDR 11? ,What is the color of UPVC SCH 40 pipe?,Where are PVC connection pipes used?,Grand total,Score
OD-AUG1_0050.jpg,August,Odisha,Balangir,2 ,1 to 3 Year,,Post -Test,D,,,,,,,,,,0,,,,,,,,,,0,0%
OD-AUG1_0051.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,,,B, A,,,,,,,,,0,0,,,,,0,0%
OD-AUG1_0058.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,D,,, A,,, A,,,,0,,,0,,,0,,0,0%
OD-AUG1_0064.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,,,,,,D,D,,,,,,,,,0,0,,0,0%
OD-AUG2_0008.jpg,August,Odisha,Balangir,2 ,1 to 3 Year,,Post -Test,,,,,,,,,,C,,,,,,,,,,0,0,0%
OD-AUG2_0033.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,,,B,,,,,,,,,,0,,,,,,0,0%
OD-AUG2_0051.jpg,August,Odisha,Balangir,2 ,3 to 5 Year,,Post -Test,,D,,,,,,,,,,0,,,,,,,,,0,0%
OD-AUG2_0054.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,,,B, A,,,,,,,,,0,0,,,,,0,0%
OD-AUG2_0102.jpg,August,Odisha,Balangir,2 ,More than 5 Years,,Post -Test,,,,,,,,,,C,,,,,,,,,,0,0,0%
OD-AUG2_0105.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,,,,,,,, A,,,,,,,,,,0,0,0%
OD-AUG2_0107.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,,,, A,,,,,,,,,,0,,,,,0,0%
OD-AUG2_0117.jpg,August,Odisha,Balangir,2 ,More than 5 Years,,Post -Test,,,,,B,,,,,,,,,,0,,,,,,0,0%
OD-AUG2_0161.jpg,August,Odisha,Bargarh,4 ,,,Post -Test,,,,,,,,,D,,,,,,,,,,0,,0,0%
OD-Jul1_0040.jpg,July,Odisha,Balangir,2 ,More than 5 Years,,Post -Test,,C,D,D,B, A,D,D,,,,0,0,0,0,0,0,0,,,0,0%
JH-Aug-1_0130.jpg,August,Jharkhand,Bokaro,31 ,3 to 5 Year,,Post -Test,B,D,,C,,,,,,,1,0,,0,,,,,,,1,10%
JH-Aug-1_0134.jpg,August,Jharkhand,Bokaro,31 ,,,Post -Test,,,A,,,,,,,,,,0,,,,,,,,0,0%
JH-Aug-1_0224.jpg,July,Jharkhand,Bokaro,31 ,,,Post -Test,A,,,C,,,,D,,,0,,,0,,,,0,,,0,0%
JH-Aug-1_0249.jpg,July,Jharkhand,Hazaribagh,41 ,1 to 3 Year,,Post -Test,B,C,A,,A,,,,,D,1,0,0,,1,,,,,1,3,30%
JH-Aug-1_0252.jpg,July,Jharkhand,Hazaribagh,41 ,1 to 3 Year,,Post -Test,,,,,,,,,B,,,,,,,,,,0,,0,0%
JH-Aug-1_0258.jpg,August,Jharkhand,Hazaribagh,41 ,,,Post -Test,B,A,,,A,,,,,,1,0,,,1,,,,,,2,20%
JH-Aug-1_0315.jpg,July,Jharkhand,Hazaribagh,41 ,More than 5 Years,,Post -Test,,,,A,,,C,,,,,,,0,,,0,,,,0,0%
JH-Aug-1_0442.jpg,August,Jharkhand,Giridih,38 ,,,Post -Test,B,,,C,,,,,,,1,,,0,,,,,,,1,10%
JH-Aug-1_0453.jpg,August,Jharkhand,Jamtara,42 ,,,Post -Test,,C,B,,A,,,,,,,0,0,,1,,,,,,1,10%
JH-Aug-1_0524.jpg,August,Jharkhand,Dhanbad,34 ,More than 5 Years,,Post -Test,B,,,,,,,B,B,D,1,,,,,,,0,0,1,2,20%
JH-Aug-1_0661.jpg,August,Jharkhand,Giridih,38 ,More than 5 Years,,Post -Test,,A,,,A,,,,,,,0,,,1,,,,,,1,10%
JH-Aug-1_0750.jpg,August,Jharkhand,Giridih,38 ,More than 5 Years,,Post -Test,,C,C,,,,,,,,,0,1,,,,,,,,1,10%
JH-Aug-1_0784.jpg,August,Jharkhand,Giridih,38 ,More than 5 Years,,Post -Test,B,,,,A,,,D,,,1,,,,1,,,0,,,2,20%
JH-Aug-1_0813.jpg,August,Jharkhand,Dhanbad,34 ,,,Post -Test,,,C,,,,,C,,D,,,1,,,,,0,,1,2,20%
JH-Aug-1_0908.jpg,August,Jharkhand,Dhanbad,34 ,,,Post -Test,,A,,,,,,,,,,0,,,,,,,,,0,0%
JH-Aug-1_0988.jpg,August,Jharkhand,Dhanbad,34 ,More than 5 Years,,Post -Test,B,D,B,,A,,,,,D,1,0,0,,1,,,,,1,3,30%
JH-Aug-2_0006.jpg,August,Jharkhand,Dhanbad,34 ,,,Post -Test,,,C,,,,,B,,,,,1,,,,,0,,,1,10%
JH-Aug-2_0023.jpg,August,Jharkhand,Giridih,38 ,More than 5 Years,,Post -Test,B,C,C,,A,,,,D,D,1,0,1,,1,,,,0,1,4,40%
OD-AUG1_0048.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,,,,,, A,B,,,,,,,,,1,0,,1,10%
OD-AUG1_0056.jpg,August,Odisha,Balangir,2 ,More than 5 Years,,Post -Test,,,,D, A,,,,,,,,,0,1,,,,,,1,10%
OD-AUG1_0057.jpg,August,Odisha,Balangir,2 ,,,Post -Test,B,,, A,,,,,,C,1,,,0,,,,,,0,1,10%
OD-AUG1_0060.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,,,,,,,C,,,,,,,,,,1,,1,10%
OD-AUG1_0065.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,,,,,,,C,,,,,,,,,,1,,1,10%
OD-AUG1_0066.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,B,,,,, A,B, A,,,1,,,,,0,0,0,,1,10%
OD-AUG2_0024.jpg,August,Odisha,Balangir,2 ,,,Post -Test,,,,,,,,,,D,,,,,,,,,,1,1,10%
OD-AUG2_0060.jpg,August,Odisha,Balangir,2 ,,,Post -Test, A,,,, A,, A,,,,0,,,,1,,0,,,,1,10%
